Title,Author
,
The Let Them Theory,Mel Robbins
Sunrise on the Reaping,Suzanne Collins
Onyx Storm,Rebecca Yarros
Fourth Wing,Rebecca Yarros
Quicksilver,Callie Hart
Iron Flame,Rebecca Yarros
Dungeon Crawler Carl,Matt Dinniman
Project Hail Mary,Andy Weir
The Housemaid,Freida McFadden
A Court of Mist and Fury,Sarah J. Maas
Carl's Doomsday Scenario,Matt Dinniman
A Court of Wings and Ruin,Sarah J. Maas
Frankie,Graham Norton
The Ballad of Songbirds and Snakes,Suzanne Collins
The Dungeon Anarchist's Cookbook,Matt Dinniman
Queen of Shadows,Sarah J. Maas
The Hunger Games,Suzanne Collins
Empire of Storms,Sarah J. Maas
The Gate of the Feral Gods,Matt Dinniman
Tower of Dawn,Sarah J. Maas
